Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,47794,54190,55842,63975,44964,48515,47544,46451
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,175379,160488,166021,155911,149508,180862,185805,152773
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,18713,19732,16903,20488,11496,10641,12900,11603
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,31053,31831,29679,42393,20159,29803,29161,21020
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,12195,15228,12457,10836,9727,7306,10621,14511
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,31082,23523,17285,26903,21646,19531,21948,14999
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,118548,128218,160378,117008,83422,79634,83704,106112
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,137276,150574,135287,173039,104548,120397,112526,106653
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,44544,47433,62341,61471,35274,33937,35725,40098
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,4269,4657,3629,5786,2941,1477,3428,3933
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,16052,18945,19813,22996,13316,11310,13177,15300
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,129514,125435,153164,149868,115233,103187,105032,105650
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,13194,19073,16820,19332,7748,11152,12319,12052
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,36992,37340,43445,43828,29485,34796,27784,28224
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,32407,35261,28911,18696,14619,17184,18497,17308
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,30955,33111,35134,32433,24863,23935,28035,34395
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,24066,29284,27766,31478,19333,22333,21168,19325
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,55376,53616,56712,65103,32533,38582,30538,31000
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,41337,39584,32717,33158,15067,23462,22240,21474
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,32575,28330,35983,35395,19835,19987,18642,22497
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,37248,32441,38082,40969,22192,24264,30052,20757
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,7112,7988,8655,9379,6147,4507,4449,4647
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,43137,43790,60166,50822,46878,46895,40941,36064
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,27536,31875,29886,33425,22206,22599,21020,31143
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,11538,8486,11151,12060,5875,6251,11021,8851
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,624212,626359,644655,658280,435886,473419,505517,515132
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,7349,5252,5681,6569,4291,2622,5921,5201
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,8309,11545,11128,11439,5924,6813,5564,6922
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,03 Baja California Sur,15588,13610,15943,14128,9654,10492,10391,8299
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,04 Campeche,4623,4725,6226,6560,3923,4585,5285,4084
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,18016,26793,26812,26148,14344,18098,15371,16657
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,5724,4610,5890,6529,3070,2724,5529,3643
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,9764,11827,12110,11189,4489,3682,5662,9794
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,17204,20001,27910,29429,15251,18683,20161,14852
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,111578,117363,114481,115394,81927,108706,114938,127970
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,6002,8208,7673,7692,4151,4446,6582,5377
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,7925,16518,13899,17815,12028,13964,13723,14224
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,7304,9929,9124,10601,3985,9866,3729,3350
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,11639,12786,8489,9948,6672,4614,8257,8573
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,49701,47620,46825,42335,35347,23703,27514,37271
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,80271,80783,62565,68915,57986,70608,66359,53292
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,20357,14591,18944,21084,8212,13517,14989,10708
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,2072,1559,1613,2109,833,705,957,1548
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,5975,7932,6943,7019,5823,6745,5170,6570
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,61426,50522,63011,61208,52163,45656,47266,50520
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,11034,9342,8793,9312,6590,6494,5890,6580
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,18470,13562,15871,19965,9913,11166,12045,9825
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,16575,24036,19353,9496,7602,5039,6225,8078
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,14112,12986,14014,13751,8874,7197,9977,10955
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,13299,10844,15909,15663,9121,9205,10857,7956
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,23392,22782,24687,21581,11664,15696,11250,13506
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,13694,13493,16024,18498,6257,7434,7165,12711
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,9190,8213,12353,11998,8499,5123,5095,8353
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,12132,13841,9912,16042,8710,7084,7588,11595
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,2712,3353,2270,2976,1631,2390,2759,1552
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,21562,13459,25364,23821,16315,14928,27880,19939
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,13818,9343,10332,15134,8144,8880,11443,12103
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,3395,4931,4506,3932,2493,2554,3975,3124
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,662890,694394,771892,838997,659947,663121,729451,673057
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,5030,4695,3145,3133,4966,2595,7255,8746
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,8880,15184,10728,12760,12046,5888,7897,5913
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,17889,16447,18492,17379,13337,13057,17262,19127
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,5385,6088,7780,8625,6958,8202,6103,6360
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,20626,23984,27189,30584,19932,22761,22806,26825
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,6163,5440,5572,5105,4867,3501,4294,4619
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,14710,11243,7265,9072,12542,10425,8187,11071
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,25901,27743,30741,30492,21044,22275,18366,24829
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,109695,140027,181646,186980,168158,199259,205682,174527
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,6778,7028,8446,3971,7213,4941,5385,6578
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,14370,11793,14842,19260,16678,10084,15928,7945
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,8222,6303,6691,4917,6370,9605,5810,4737
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,16794,12315,7954,12969,8737,7435,11468,13353
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,40936,41654,35178,34234,25944,24857,38534,32329
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,15 México,56749,67089,87508,121303,68812,72109,76608,61128
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,18060,28257,15604,20782,17486,16386,16116,24879
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,17 Morelos,3488,2333,2621,1166,1675,2307,1272,1006
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,18 Nayarit,4692,6529,4901,8140,8171,5991,7473,7190
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,19 Nuevo León,93445,85295,88321,102373,66881,65175,84741,68241
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,20 Oaxaca,7112,7915,7880,7482,5842,6233,4416,7662
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,14662,18100,18829,12731,15768,15716,17552,18337
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,7860,11984,11059,17850,11219,11970,17030,12379
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,9682,13782,11941,17975,9799,10886,8946,12654
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,18834,11697,17456,18539,15455,12974,10647,17047
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,24401,21968,27652,31780,18082,24330,23855,21364
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,18437,15501,17138,18640,11533,7745,14810,14240
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,13081,10041,19861,14703,17467,13195,9044,8222
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,17013,17989,19630,15197,12264,10159,13753,12887
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,3190,4319,3739,3823,2072,2668,3962,3354
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,31187,17078,29260,23499,31372,22899,23390,17122
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,16363,18718,19052,19865,13615,13389,17047,16075
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,3255,5855,3771,3668,3642,4104,3812,2311
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,501215,499991,547849,592494,478009,473475,524426,480096
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,3334,3975,1961,2330,3064,1785,6474,7124
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,7027,6994,8909,8210,7469,5253,6171,4224
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,12095,13202,14272,12754,9471,9972,11748,12874
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,4175,5010,6167,6834,5250,5955,4482,4738
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,16532,19200,19625,21378,15017,17720,15924,21595
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,5165,4394,4595,4649,3685,3266,3436,3762
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,07 Chiapas,9371,9327,5740,7645,11023,8077,4549,8511
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,19487,20155,23336,22797,16083,17755,12866,14189
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,85780,93949,109441,121898,111256,117050,140586,107191
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,5148,6021,6420,3307,4509,3800,4273,4590
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,11171,9478,12510,15700,12745,7663,9957,5556
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,4516,5141,4912,3562,3339,3946,2997,3752
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,12653,10002,5949,9542,7916,6670,9891,10180
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,33433,27674,21973,25737,21755,16426,32319,25253
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,41404,48724,71728,78710,53226,56486,51575,43948
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,15361,19969,12408,18867,14037,12563,12335,19890
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,2684,1552,1823,514,942,1722,854,895
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,3988,4860,3456,6044,5700,4216,4635,4860
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,71130,65937,62725,70920,48435,49472,60244,54779
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,4870,5792,7132,4481,3072,5017,3671,6559
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,11862,11543,13496,8206,11089,13244,13799,15709
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,5913,8538,7647,14429,7697,8916,12706,7552
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,7893,10273,9030,12550,8083,8546,5988,9660
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,14938,8748,10125,15027,11385,9225,8281,12004
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,16846,15319,19470,22039,12751,19639,19667,16060
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,14586,11378,11694,13526,7499,6743,11228,10389
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,10298,7554,14394,10800,14441,11344,6973,6677
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,13112,11642,14662,11463,10699,8155,10391,9486
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,2261,2915,3037,2895,1425,2009,3060,2258
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,20045,13503,21805,18851,23629,18928,18313,11709
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,11694,13027,14373,13880,9229,9085,12091,12066
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,2443,4195,3034,2949,2088,2827,2942,2056
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,161675,194403,224043,246503,181938,189646,205025,192961
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,1696,720,1184,803,1902,810,781,1622
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,1853,8190,1819,4550,4577,635,1726,1689
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,03 Baja California Sur,5794,3245,4220,4625,3866,3085,5514,6253
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,04 Campeche,1210,1078,1613,1791,1708,2247,1621,1622
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,4094,4784,7564,9206,4915,5041,6882,5230
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,998,1046,977,456,1182,235,858,857
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,5339,1916,1525,1427,1519,2348,3638,2560
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,6414,7588,7405,7695,4961,4520,5500,10640
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,23915,46078,72205,65082,56902,82209,65096,67336
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,1630,1007,2026,664,2704,1141,1112,1988
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,3199,2315,2332,3560,3933,2421,5971,2389
